ADMIN,ISO_A3,ADM0_A3,Health Care Spending(Per Capita USD),Health Care Spending (PPP),Life Expectancy,"Maternal Mortality Rate (per 100,000 births)",Infant Mortality Rate (1000 births),Population (2014)
Ghana,GHA,GHA,58,145,61,322,44,26786598
Gibraltar,GIB,GIB,,,,,,
Guinea,GIN,GIN,30,69,59,688,63,12275527
Gambia,GMB,GMB,31,119,60,719,49,1928201
Guinea Bissau,GNB,GNB,37,91,55,553,62,1800513
Equatorial Guinea,GNQ,GNQ,663,1163,58,351,70,820885
Greece,GRC,GRC,1743,2098,81,3,4,10869657
Grenada,GRD,GRD,506,729,73,27,11,106349
Greenland,GRL,GRL,,,,,,
Guatemala,GTM,GTM,233,473,72,93,25,16015494
Guam,GUM,GUM,,,,,,
Guyana,GUY,GUY,222,379,66,233,33,763893
Hong Kong S.A.R.,HKG,HKG,,,,,,7241700
Heard Island and McDonald Islands,HMD,HMD,,,,,,
Honduras,HND,HND,212,400,73,132,18,7961680
Croatia,HRV,HRV,1050,1652,77,9,4,4238389
Haiti,HTI,HTI,108,229,63,367,54,10572029
Hungary,HUN,HUN,1037,1827,76,16,5,9863183
Indonesia,IDN,IDN,99,300,69,133,24,254454778
Isle of Man,IMN,IMN,,,,,,87127
India,IND,IND,75,268,68,181,39,1295291543
Indian Ocean Territories,-99,IOA,,,,,,
British Indian Ocean Territory,IOT,IOT,,,,,,
Ireland,IRL,IRL,4239,3801,81,8,3,4615693
Iran,IRN,IRN,351,1082,75,26,14,78143644
Iraq,IRQ,IRQ,292,667,69,50,27,34812326
Iceland,ISL,ISL,4662,3882,82,4,2,327386
Israel,ISR,ISR,2910,2599,82,5,3,8215700
Italy,ITA,ITA,3258,3239,83,4,3,60789140
Jamaica,JAM,JAM,266,476,76,90,14,2720554
Jersey,JEY,JEY,,,,,,
Jordan,JOR,JOR,359,798,74,59,16,6607000
Japan,JPN,JPN,3703,3727,84,6,2,127131800
Baykonur Cosmodrome,-99,KAB,,,,,,
Siachen Glacier,-99,KAS,,,,,,
Kazakhstan,KAZ,KAZ,539,1068,72,12,14,17289224
Kenya,KEN,KEN,78,169,62,525,37,44863583
Kyrgyzstan,KGZ,KGZ,82,215,70,77,20,5835500
Cambodia,KHM,KHM,61.28,183.2,68,167,26,15328136
Kiribati,KIR,KIR,154,184,66,93,45,110470
Saint Kitts and Nevis,KNA,KNA,771,1152,,,9,54944
South Korea,KOR,KOR,2060,2531,82,12,3,50423955
Kosovo,-99,KOS,,,,,,1823149
Kuwait,KWT,KWT,1386,2320,75,4,8,3753121
Laos,LAO,LAO,33,99,66,213,52,6689300
Lebanon,LBN,LBN,569,988,79,16,7,4546774
Liberia,LBR,LBR,46,99,61,741,55,4396554
Libya,LBY,LBY,372,806,72,9,12,6258984
Saint Lucia,LCA,LCA,500,699,75,49,13,183645
Liechtenstein,LIE,LIE,,,,,,37286
Sri Lanka,LKA,LKA,127,369,75,31,9,20771000
Lesotho,LSO,LSO,105,276,50,513,71,2109197
Lithuania,LTU,LTU,1063,1718,74,10,4,2932367
Luxembourg,LUX,LUX,8138,6812,82,10,2,556319
Latvia,LVA,LVA,921,940,74,18,7,1993782
Macao S.A.R,MAC,MAC,,,,,,577914
Saint Martin,MAF,MAF,,,,,,31530
Morocco,MAR,MAR,190,447,74,126,25,33921203
Monaco,MCO,MCO,8149,7302,,,3,37623
Moldova,MDA,MDA,229,514,71,24,14,3556397
Madagascar,MDG,MDG,14,44,65,369,37,23571713
Maldives,MDV,MDV,1165,1996,77,69,8,401000
Mexico,MEX,MEX,677,1122,77,39,12,125385833
Marshall Islands,MHL,MHL,625,680,,,30,52898
Macedonia,MKD,MKD,354,851,75,8,5,2075625
Mali,MLI,MLI,48,108,58,601,76,17086022
Malta,MLT,MLT,2471,3072,82,9,5,427364
Myanmar,MMR,MMR,20,104,66,184,41,53427159
Montenegro,MNE,MNE,458,888,76,7,5,621810
Mongolia,MNG,MNG,195,565,69,46,20,2909871
Northern Mariana Islands,MNP,MNP,,,,,,
Mozambique,MOZ,MOZ,42,80,55,506,59,27216276
Mauritania,MRT,MRT,49,148,63,629,66,3969625
Montserrat,MSR,MSR,,,,,,
Mauritius,MUS,MUS,482,896,74,54,12,1260934
Malawi,MWI,MWI,24,80,63,638,45,16695253
Malaysia,MYS,MYS,456,1040,75,41,6,29901997
Namibia,NAM,NAM,499,870,65,273,33,2402858
New Caledonia,NCL,NCL,,,,,,266000
Niger,NER,NER,24,54,61,574,58,19113728
Norfolk Island,NFK,NFK,,,,,,
Nigeria,NGA,NGA,118,217,53,820,72,177475986
Nicaragua,NIC,NIC,177,445,75,154,19,6013913
Niue,NIU,NIU,,,,,,
Netherlands,NLD,NLD,5694,5202,81,7,3,16865008
Norway,-99,NOR,9522,6347,82,5,2,5136886
Nepal,NPL,NPL,40,137,70,275,31,28174724
Nauru,NRU,NRU,,,,,,
New Zealand,NZL,NZL,4896,4018,81,11,5,4509700
Oman,OMN,OMN,675,1442,77,18,10,4236057
Pakistan,PAK,PAK,36,129,66,184,67,185044286
Panama,PAN,PAN,959,1677,78,97,15,3867525
Pitcairn Islands,PCN,PCN,,,,,,
Peru,PER,PER,359,656,75,70,14,30973148
Spratly Islands,-99,PGA,,,,,,
Philippines,PHL,PHL,135,329,68,117,23,99138690
Palau,PLW,PLW,1150,1429,,,15,21097
Papua New Guinea,PNG,PNG,92,68.47,63,220,46,7463577
Poland,POL,POL,910,1570,77,3,5,38011735
Puerto Rico,PRI,PRI,,,,,,3548397
North Korea,PRK,PRK,,,70,85,21,25026772
Portugal,PRT,PRT,2097,2690,81,10,3,10401062
Paraguay,PRY,PRY,464,873,73,134,18,6552518
Palestine,PSE,PSX,,,,,,
French Polynesia,PYF,PYF,,,,,,279781
Qatar,QAT,QAT,2106,3071,79,13,7,2172065
Romania,ROU,ROU,557,1079,75,31,10,19904360
Russia,RUS,RUS,893,1838,70,25,9,143819569
Rwanda,RWA,RWA,52,125,64,304,33,11341544
Western Sahara,ESH,SAH,,,,,,
Saudi Arabia,SAU,SAU,1147,2466,74,12,13,30886545
Scarborough Reef,-99,SCR,,,,,,
Sudan,SDN,SDN,130,282,63,318,49,39350274
South Sudan,SSD,SDS,30,73,56,823,62,11911184
Senegal,SEN,SEN,50,107,66,323,42,14672557
Serranilla Bank,-99,SER,,,,,,
Singapore,SGP,SGP,2752,4047,83,10,2,5469724
South Georgia and South Sandwich Islands,SGS,SGS,,,,,,
Saint Helena,SHN,SHN,,,,,,
Solomon Islands,SLB,SLB,102,108,68,1118,24,572171
Sierra Leone,SLE,SLE,86,224,51,1410,90,6315627
El Salvador,SLV,SLV,280,565,73,54,15,6107706
San Marino,SMR,SMR,3459,3390,,,3,31595
Somaliland,-99,SOL,,,,,,
Somalia,SOM,SOM,55,,,753,87,10517569
Saint Pierre and Miquelon,SPM,SPM,,,,,,
Republic of Serbia,SRB,SRB,633,1312,76,17,6,7129366
Sao Tome and Principe,STP,STP,166,300,66,159,36,186342
Suriname,SUR,SUR,589,978,71,158,20,538248
Slovakia,SVK,SVK,1455,2179,77,6,6,5418649
Slovenia,SVN,SVN,2161,2698,81,9,2,2061980
Sweden,SWE,SWE,6808,5219,82,4,2,9696110
Swaziland,SWZ,SWZ,248,589,49,400,46,1269112
Sint Maarten,SXM,SXM,,,,,,
Seychelles,SYC,SYC,494,844,73,,12,91400
Syria,SYR,SYR,66,376,70,64,12,22157800
Turks and Caicos Islands,TCA,TCA,,,,,,33740
Chad,TCD,TCD,37.2,79,,,,
Togo,TGO,TGO,34,77,60,378,54,7115163
Thailand,THA,THA,360,950,74,21,11,67725979
Tajikistan,TJK,TJK,76,185,70,33,40,8295840
Turkmenistan,TKM,TKM,187,320,66,43,45,5307188
East Timor,TLS,TLS,57,102,68,231,46,1212107
Tonga,TON,TON,213,270,73,127,15,105586
Trinidad and Tobago,TTO,TTO,1091,1743,70,63,19,1354483
Tunisia,TUN,TUN,305,786,74,63,13,10996600
Turkey,TUR,TUR,568,1036,75,17,12,75932348
Tuvalu,TUV,TUV,633,585,,,23,9893
Taiwan,TWN,TWN,,,,,,
United Republic of Tanzania,TZA,TZA,52,138,65,418,36,51822621
Uganda,UGA,UGA,52,133,58,356,39,37782971
Ukraine,UKR,UKR,203,584,71,24,8,45362900
United States Minor Outlying Islands,UMI,UMI,,,,,,
Uruguay,URY,URY,1442,1792,77,15,9,3419516
United States of America,USA,USA,9403,9403,79,14,6,318857056
US Naval Base Guantanamo Bay,-99,USG,,,,,,
Uzbekistan,UZB,UZB,124,340,68,37,35,30757700
Vatican,VAT,VAT,,,,,,
Saint Vincent and the Grenadines,VCT,VCT,575,917,73,45,17,109360
Venezuela,VEN,VEN,873,923,74,97,13,30693827
British Virgin Islands,VGB,VGB,,,,,,
United States Virgin Islands,VIR,VIR,,,,,,104170
Vietnam,VNM,VNM,142,391,76,54,18,90728900
Vanuatu,VUT,VUT,158,151,72,81,24,258883
Wallis and Futuna,WLF,WLF,,,,,,
Akrotiri Sovereign Base Area,-99,WSB,,,,,,
Samoa,WSM,WSM,301,418,74,53,15,191845
Yemen,YEM,YEM,80,202,64,398,35,26183676
South Africa,ZAF,ZAF,570,1148,57,140,34,54001953
Zambia,ZMB,ZMB,86,195,60,231,45,15721343
Zimbabwe,ZWE,ZWE,58,115,57,401,48,15245855
